2019/10/13 14:12:37.306 [I] [SeoModel.go:104]  [2019-10-13 14:12:37]更新站点地图[start]
2019/10/13 14:26:25.681 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:26:26.591 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:26:29.106 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:26:29.270 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:26:31.781 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:26:51.835 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:26:58.453 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:27:00.197 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:27:08.230 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:27:12.253 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:27:14.179 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:27:15.715 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:29:01.979 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:29:06.008 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:32:41.904 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:44:06.401 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:44:12.862 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:44:19.205 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:44:33.215 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:44:50.056 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:47:21.286 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:51:57.359 [E] [UserController.go:397]  邮件发送失败：dial tcp :0: connect: can't assign requested address
2019/10/13 14:52:05.583 [E] [UserController.go:397]  邮件发送失败：dial tcp :0: connect: can't assign requested address
2019/10/13 14:52:19.361 [E] [UserController.go:397]  邮件发送失败：dial tcp :0: connect: can't assign requested address
2019/10/13 14:52:42.810 [E] [UserController.go:397]  邮件发送失败：dial tcp :0: connect: can't assign requested address
2019/10/13 14:53:28.546 [E] [UserController.go:397]  邮件发送失败：dial tcp :0: connect: can't assign requested address
2019/10/13 14:53:29.925 [E] [UserController.go:397]  邮件发送失败：dial tcp :0: connect: can't assign requested address
2019/10/13 15:08:21.588 [E] [UserController.go:397]  邮件发送失败：dial tcp :0: connect: can't assign requested address
2019/10/13 15:08:24.228 [E] [UserController.go:397]  邮件发送失败：dial tcp :0: connect: can't assign requested address
2019/10/13 15:08:57.556 [E] [UserController.go:397]  邮件发送失败：dial tcp :0: connect: can't assign requested address
2019/10/13 17:10:53.386 [E] [Utils.go:299]  文件(uploads/2019/10/13/2/2-1570957852965522000-.docx)转PDF失败：exec: "soffice": executable file not found in $PATH
2019/10/13 17:11:02.238 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/13 17:11:16.010 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/13 17:12:36.025 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/13 17:16:59.164 [D] [Utils.go:314]  store信息：%!(EXTRA string=&{Id:2 Md5:8d7e1e65d93b9c2224f526cff9bdebeb Ext:pdf ExtCate:pdf ExtNum:4 Page:5 PreviewPage:0 Size:445272 ModTime:1570958218 PreviewExt:svg Width:0 Height:0})
2019/10/13 17:16:59.172 [E] [convert.go:156]  exec: "pdftotext": executable file not found in $PATH
2019/10/13 17:16:59.173 [E] [convert.go:193]  open /Users/luoxianjie/go/src/DocHKJ/uploads/2019/10/13/2/2-1570958218556755000-.pdf.txt: no such file or directory
2019/10/13 17:16:59.174 [D] [convert.go:101]  calibre文档转换：ebook-convert /Users/luoxianjie/go/src/DocHKJ/uploads/2019/10/13/2/2-1570958218556755000-.pdf /Users/luoxianjie/go/src/DocHKJ/uploads/2019/10/13/2/2-1570958218556755000-.txt
2019/10/13 17:16:59.174 [E] [convert.go:193]  open /Users/luoxianjie/go/src/DocHKJ/uploads/2019/10/13/2/2-1570958218556755000-.txt: no such file or directory
2019/10/13 17:16:59.176 [E] [Utils.go:364]  exec: "pdf2svg": executable file not found in $PATH
2019/10/13 17:16:59.176 [E] [Utils.go:364]  exec: "pdf2svg": executable file not found in $PATH
2019/10/13 17:16:59.176 [E] [Utils.go:364]  exec: "pdf2svg": executable file not found in $PATH
2019/10/13 17:16:59.176 [E] [Utils.go:364]  exec: "pdf2svg": executable file not found in $PATH
2019/10/13 17:16:59.176 [E] [Utils.go:364]  exec: "pdf2svg": executable file not found in $PATH
2019/10/13 17:17:03.209 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/13 17:17:12.378 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/13 17:17:13.726 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/13 17:17:15.013 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/13 17:18:20.887 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/13 17:19:05.199 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/13 17:27:40.574 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/13 17:27:45.064 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/13 17:28:17.612 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/13 19:05:58.109 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/13 19:06:01.581 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/13 19:06:06.820 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/13 19:06:13.390 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/13 19:06:17.516 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/13 19:06:45.605 [E] [Utils.go:299]  文件(uploads/2019/10/13/2/2-1570964805303933000-.doc)转PDF失败：exec: "soffice": executable file not found in $PATH
2019/10/13 19:06:50.023 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/13 19:07:13.404 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/13 19:07:22.266 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/13 19:09:19.645 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/13 19:10:14.171 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/13 19:11:07.695 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/13 19:13:13.077 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/13 19:13:34.312 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/13 19:13:37.005 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/13 19:25:10.443 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/14 22:08:42.056 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/14 22:11:51.341 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/14 22:12:15.273 [E] [Utils.go:299]  文件(loupads/2019/10/14/2/2-1571062305937600000-.docx)转PDF失败：exec: "soffice": executable file not found in $PATH
2019/10/15 18:09:59.412 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/15 18:13:13.446 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/15 18:13:14.470 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/15 18:13:28.594 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/15 18:43:26.675 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/15 18:43:52.637 [E] [Utils.go:299]  文件(uploads/2019/10/15/2/2-1571136232325995000-.docx)转PDF失败：exec: "soffice": executable file not found in $PATH
2019/10/15 18:44:23.009 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/15 18:44:43.583 [E] [BaseController.go:153]  <QuerySeter> no row found
2019/10/15 18:48:13.457 [E] [Utils.go:299]  文件(uploads/2019/10/15/2/2-1571136493121929000-.docx)转PDF失败：exec: "soffice": executable file not found in $PATH
2019/10/15 18:48:28.358 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/15 18:48:45.957 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/15 19:36:14.644 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/15 19:36:21.708 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/15 19:36:31.214 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/15 19:38:46.686 [D] [Utils.go:314]  store信息：%!(EXTRA string=&{Id:7 Md5:06e1364894e221c8ff5669ac57a35776 Ext:pdf ExtCate:pdf ExtNum:4 Page:2 PreviewPage:0 Size:182495 ModTime:1571139526 PreviewExt:svg Width:0 Height:0})
2019/10/15 19:38:46.997 [E] [Utils.go:376]  exec: "convert": executable file not found in $PATH
2019/10/15 19:38:46.997 [E] [Utils.go:382]  open /Users/luoxianjie/go/src/DocHKJ/uploads/2019/10/15/2/2-1571139526278291000-/1.svg.jpg: no such file or directory
2019/10/15 19:38:57.081 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/15 19:46:05.168 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/15 19:46:09.088 [D] [Utils.go:314]  store信息：%!(EXTRA string=&{Id:8 Md5:fcff40d298283e43077417f9d92234c8 Ext:doc ExtCate:word ExtNum:1 Page:1 PreviewPage:0 Size:63014 ModTime:1571139959 PreviewExt:svg Width:0 Height:0})
2019/10/15 19:46:09.279 [E] [Utils.go:376]  exec: "convert": executable file not found in $PATH
2019/10/15 19:46:09.279 [E] [Utils.go:382]  open /Users/luoxianjie/go/src/DocHKJ/uploads/2019/10/15/2/2-1571139959935433000-/1.svg.jpg: no such file or directory
2019/10/15 19:47:20.000 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/15 19:57:57.534 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/15 19:59:02.449 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
